Month,SolarRad,TempOut,WindSpeed,OutHum,P_GEN_MAX
 12 ,0,4,0,95,0
 12 ,0,3.5,0,95,0
 12 ,0,3.1,0,93,0
 12 ,0,2.7,0,93,0
 12 ,0,2.8,0,92,0
 12 ,0,2.2,0,91,0
 12 ,0,1.7,0,93,0
 12 ,0,1.2,0,92,0
 12 ,2,1.1,0,90,0
 12 ,22,0.6,0,93,0
 12 ,46,3,0,93,0.247
 12 ,113,6.4,0,89,0.334
 12 ,224,7.9,1,85,0.633
 12 ,199,8.7,1,83,0.64
 12 ,113,9.2,1,79,0.616
 12 ,28,7.3,0,83,0.221
 12 ,1,5.8,0,85,0
 12 ,0,4.3,0,88,0
 12 ,0,4.3,0,89,0
 12 ,0,4.8,0,84,0
 12 ,0,4.8,0,90,0
 12 ,0,4.4,0,92,0
 12 ,0,3.5,0,93,0
 12 ,0,3.5,0,93,0
 12 ,0,11.3,7,94,0
 12 ,0,11.1,6,94,0
 12 ,0,11.1,7,95,0
 12 ,0,11.2,5,95,0
 12 ,0,11.8,6,93,0
 12 ,0,11.4,7,94,0
 12 ,0,11.2,7,94,0
 12 ,0,11.6,5,91,0
 12 ,0,11.2,6,89,0
 12 ,13,11,7,89,0
 12 ,20,11.1,5,87,0.003
 12 ,35,10.9,5,90,0.025
 12 ,49,11.2,5,90,0.056
 12 ,19,11.3,5,91,0
 12 ,20,11.6,4,91,0.003
 12 ,14,11.8,5,90,0.003
 12 ,0,11.7,4,91,0
 12 ,0,11.6,4,92,0
 12 ,0,10.6,0,94,0
 12 ,0,10.6,0,94,0
 12 ,0,10.3,0,93,0
 12 ,0,10.2,0,93,0
 12 ,0,8.9,1,93,0
 12 ,0,8.7,0,93,0
 12 ,0,7.6,1,94,0
 12 ,0,6.7,2,93,0
 12 ,0,5.6,3,93,0
 12 ,0,5.3,1,93,0
 12 ,0,4.8,1,93,0
 12 ,0,5.3,0,94,0
 12 ,0,5.3,0,92,0
 12 ,0,5.3,0,92,0
 12 ,0,5.4,0,92,0
 12 ,26,5.2,0,93,0
 12 ,68,5.7,0,93,0.069
 12 ,79,6.3,0,92,0.134
 12 ,67,6.5,0,91,0.114
 12 ,67,6.9,0,89,0.139
 12 ,62,7.1,0,87,0.103
 12 ,27,6.6,0,90,0.03
 12 ,0,6.2,0,92,0
 12 ,0,6,0,93,0
 12 ,0,6.1,0,94,0
 12 ,0,6.5,0,95,0
 12 ,0,6.7,0,94,0
 12 ,0,6.8,0,95,0
 12 ,0,6.7,1,95,0
 12 ,0,6.8,0,96,0
 12 ,0,6.8,1,96,0
 12 ,0,6.9,0,96,0
 12 ,0,7.1,1,97,0
 12 ,0,7.3,2,97,0
 12 ,0,7.4,1,96,0
 12 ,0,7,2,94,0
 12 ,0,6.3,2,92,0
 12 ,0,5.8,2,93,0
 12 ,0,5.3,2,93,0
 12 ,20,5.6,4,95,0
 12 ,57,7.4,7,91,0.066
 12 ,198,8.5,8,87,0.104
 12 ,140,8.9,8,88,0.128
 12 ,164,9.9,7,83,0.139
 12 ,56,9.4,7,84,0.11
 12 ,31,9.2,9,85,0.035
 12 ,0,8.8,7,87,0
 12 ,0,8.8,8,87,0
 12 ,0,8.7,9,86,0
 12 ,0,8.7,12,86,0
 12 ,0,8.8,9,86,0
 12 ,0,8.7,11,89,0
 12 ,0,8.3,11,94,0
 12 ,0,8.7,13,93,0
 12 ,0,8.9,12,94,0
 12 ,0,8.9,5,92,0
 12 ,0,8.6,3,91,0
 12 ,0,7.7,4,87,0
 12 ,0,6.9,3,89,0
 12 ,0,6.4,2,90,0
 12 ,0,6.3,2,89,0
 12 ,0,5.6,1,89,0
 12 ,0,4.9,1,89,0
 12 ,22,5.1,2,88,0
 12 ,49,5.8,3,85,0.068
 12 ,113,6.7,2,80,0.106
 12 ,182,7.9,2,74,0.106
 12 ,166,8.4,3,69,0.102
