Month,SolarRad,TempOut,WindSpeed,OutHum,P_GEN_MAX
 12 ,0,2.3,0,93,0
 12 ,0,2,0,96,0
 12 ,0,1.9,0,96,0
 12 ,0,1.1,0,92,0
 12 ,0,1.1,0,96,0
 12 ,0,0.6,0,96,0
 12 ,0,0.3,0,96,0
 12 ,0,-0.1,0,97,0
 12 ,0,0.1,0,97,0
 12 ,18,0.4,0,97,0
 12 ,84,3.6,0,98,0.54
 12 ,50,5.3,0,97,1.517
 12 ,62,7.4,0,94,1.799
 12 ,62,8.7,0,87,0.863
 12 ,59,9.6,0,83,0.341
 12 ,34,8.9,0,84,0.109
 12 ,4,7.5,0,88,0
 12 ,0,6.3,0,89,0
 12 ,0,5.7,0,91,0
 12 ,0,5.7,0,93,0
 12 ,0,4.7,0,89,0
 12 ,0,3.9,0,90,0
 12 ,0,2.7,0,91,0
 12 ,0,2.6,0,95,0
 12 ,0,12,5,93,0
 12 ,0,12.2,6,92,0
 12 ,0,12.1,6,95,0
 12 ,0,11.8,5,94,0
 12 ,0,11.8,6,93,0
 12 ,0,11.6,6,92,0
 12 ,0,11.3,6,91,0
 12 ,0,11.7,7,87,0
 12 ,0,11.4,5,86,0
 12 ,3,10.9,5,91,0
 12 ,11,11.5,5,92,0
 12 ,21,11.8,7,93,0.013
 12 ,18,11.8,6,93,0.052
 12 ,16,12,6,94,0.026
 12 ,4,11.9,5,95,0
 12 ,6,12.3,6,94,0
 12 ,0,12.3,5,94,0
 12 ,0,12.2,5,95,0
 12 ,0,11.1,1,93,0
 12 ,0,10.3,0,96,0
 12 ,0,10.2,0,96,0
 12 ,0,10.5,0,95,0
 12 ,0,10.1,0,96,0
 12 ,0,9.9,0,95,0
 12 ,0,8.8,0,93,0
 12 ,0,8.3,0,95,0
 12 ,0,7.8,0,94,0
 12 ,0,6.8,0,94,0
 12 ,0,6.3,0,95,0
 12 ,0,5.8,0,95,0
 12 ,0,5.8,0,95,0
 12 ,0,5.2,0,95,0
 12 ,0,5,0,95,0
 12 ,6,5.4,0,97,0
 12 ,16,5.9,0,96,0.011
 12 ,48,6.7,0,94,0.076
 12 ,42,6.5,0,95,0.193
 12 ,61,6.7,1,95,0.245
 12 ,32,6.9,1,94,0.122
 12 ,9,6.8,1,93,0.013
 12 ,0,6.7,1,96,0
 12 ,0,7.1,1,96,0
 12 ,0,7.3,1,97,0
 12 ,0,7.7,1,97,0
 12 ,0,8.1,1,97,0
 12 ,0,8.6,0,97,0
 12 ,0,9.2,0,96,0
 12 ,0,9.4,0,96,0
 12 ,0,9.1,3,97,0
 12 ,0,9.1,2,97,0
 12 ,0,8.6,2,96,0
 12 ,0,7.7,1,97,0
 12 ,0,7,0,96,0
 12 ,0,6.6,1,95,0
 12 ,0,6.7,0,93,0
 12 ,0,8.4,3,91,0
 12 ,0,8.4,2,91,0
 12 ,12,8.7,4,92,0
 12 ,32,9.3,4,90,0.054
 12 ,58,10,5,89,0.201
 12 ,82,10.3,3,89,0.287
 12 ,69,10.5,3,88,0.284
 12 ,53,10.3,3,89,0.257
 12 ,12,10,3,89,0.021
 12 ,0,9.9,3,87,0
 12 ,0,9.9,3,89,0
 12 ,0,10.2,4,89,0
 12 ,0,9.9,4,91,0
 12 ,0,9.7,4,93,0
 12 ,0,9.7,5,94,0
 12 ,0,9.9,6,95,0
 12 ,0,10.3,7,94,0
 12 ,0,9.9,5,94,0
 12 ,0,9.9,4,93,0
 12 ,0,8.3,3,95,0
 12 ,0,8,2,94,0
 12 ,0,7.4,2,92,0
 12 ,0,6.2,2,92,0
 12 ,0,5.6,2,92,0
 12 ,0,5.2,1,91,0
 12 ,0,4.9,2,90,0
 12 ,10,4.3,0,93,0
 12 ,57,5.1,0,93,0.075
 12 ,20,5.8,0,92,0.089
 12 ,62,7.3,1,83,0.126
 12 ,60,8.1,3,76,1.534
 12 ,58,8.7,3,77,0.456
 12 ,26,8.4,2,80,0.084
 12 ,1,7.8,1,82,0
 12 ,0,8.2,2,82,0
 12 ,0,8.6,1,83,0
 12 ,0,8.9,3,80,0
 12 ,0,5.4,3,96,0
 12 ,0,6.3,2,95,0
 12 ,0,5.7,0,95,0
 12 ,0,4.6,0,94,0
 12 ,0,3.7,0,93,0
 12 ,0,2.6,0,95,0
 12 ,0,1.9,0,93,0
 12 ,0,1.1,0,95,0
 12 ,0,0.9,0,97,0
 12 ,0,3.1,1,95,0
 12 ,0,2.3,0,95,0
 12 ,0,3.8,2,93,0
 12 ,0,3,0,92,0
 12 ,18,2.1,0,97,0
 12 ,94,6.6,3,90,0.548
 12 ,75,7.8,4,86,1.321
 12 ,65,8.8,3,85,1.683
 12 ,75,9.7,4,82,1.332
 12 ,76,9.9,5,81,0.469
 12 ,42,9.7,5,81,0.115
 12 ,4,9.9,4,81,0
 12 ,0,10.2,5,84,0
 12 ,0,10,5,84,0
 12 ,0,9.8,7,83,0
 12 ,0,10.1,6,83,0
 12 ,0,10.2,6,83,0
 12 ,0,10.3,8,83,0
 12 ,0,10.4,8,84,0
 12 ,0,10.3,7,84,0
 12 ,0,10.2,7,87,0
 12 ,0,9.8,7,90,0
 12 ,0,10.2,7,88,0
 12 ,0,10.5,8,88,0
 12 ,0,10.2,8,92,0
 12 ,0,9.9,7,94,0
 12 ,0,10,6,94,0
 12 ,0,10.1,6,95,0
 12 ,3,10.3,6,94,0
 12 ,15,10.4,6,95,0
 12 ,17,10.3,6,94,0.046
 12 ,14,10.1,6,96,0.026
 12 ,7,10.4,7,95,0
 12 ,8,10.5,6,96,0.005
 12 ,8,10.7,6,95,0.001
 12 ,0,10.8,6,95,0
 12 ,0,11.2,7,94,0
 12 ,0,11.3,8,94,0
 12 ,0,11.6,8,93,0
 12 ,0,11.8,7,93,0
 12 ,0,10.8,9,93,0
 12 ,0,9.8,5,89,0
 12 ,0,9.8,6,87,0
 12 ,0,9.6,5,86,0
 12 ,0,9,4,85,0
 12 ,0,9.3,5,85,0
 12 ,0,9.4,4,87,0
 12 ,0,8.9,3,89,0
 12 ,0,9.7,4,85,0
 12 ,0,10.2,6,89,0
 12 ,0,10.4,5,89,0
 12 ,0,8.8,8,90,0
 12 ,5,7.7,4,94,0
 12 ,1,7.9,5,91,0
 12 ,57,8.5,5,91,0
 12 ,68,9.6,5,89,0.572
 12 ,63,9.5,5,85,0.29
 12 ,54,9.6,6,80,0.198
 12 ,50,9.2,5,78,0.11
 12 ,4,8.6,4,80,0
 12 ,0,7.9,4,88,0
 12 ,0,7.3,4,86,0
 12 ,0,6.9,3,85,0
 12 ,0,6.9,3,82,0
 12 ,0,6.4,1,85,0
 12 ,0,6.2,4,85,0
 12 ,0,5.7,2,86,0
 12 ,0,6.3,2,85,0
 12 ,0,6.8,2,88,0
 12 ,0,7.3,3,86,0
 12 ,0,7.7,2,87,0
 12 ,0,8.4,3,85,0
 12 ,0,8.4,5,90,0
 12 ,0,9.2,5,87,0
 12 ,0,9.6,5,88,0
 12 ,0,9.7,5,88,0
 12 ,6,10.1,5,88,0
 12 ,21,10.5,5,88,0.016
 12 ,14,10.2,5,92,0.028
 12 ,10,10.2,4,93,0.002
 12 ,15,10.7,5,93,0.023
 12 ,10,10.9,6,93,0.008
 12 ,0,11,6,93,0
 12 ,0,11.1,7,93,0
 12 ,0,11.1,7,93,0
 12 ,0,11.2,7,94,0
 12 ,0,11.3,8,94,0
 12 ,0,11.3,7,95,0
 12 ,0,11.3,7,94,0
 12 ,0,11.3,8,93,0
 12 ,0,11.4,7,93,0
 12 ,0,11.4,8,93,0
 12 ,0,11.3,7,93,0
 12 ,0,11.2,9,93,0
 12 ,0,11.3,9,93,0
 12 ,0,11.2,8,95,0
 12 ,0,9.8,9,93,0
 12 ,0,9.1,5,94,0
 12 ,0,8.9,3,95,0
 12 ,0,9.2,3,94,0
 12 ,3,8.8,6,90,0
 12 ,22,9.1,5,90,0.007
 12 ,25,9,6,85,0.04
 12 ,58,9.4,6,82,0.095
 12 ,57,9.8,7,83,0.188
 12 ,29,8.2,5,85,0.059
 12 ,36,8.2,5,83,0.108
 12 ,4,7.8,4,85,0
 12 ,0,8.3,4,82,0
 12 ,0,8.3,2,81,0
 12 ,0,8.4,1,82,0
 12 ,0,7.3,0,91,0
 12 ,0,7.8,0,90,0
 12 ,0,7.4,2,89,0
 12 ,0,6.7,1,94,0
 12 ,0,5.9,1,95,0
 12 ,0,5.5,2,94,0
 12 ,0,5.7,0,94,0
 12 ,0,4.9,0,93,0
 12 ,0,4.5,1,92,0
 12 ,0,4.6,2,92,0
 12 ,0,5.1,2,90,0
 12 ,0,4.7,3,93,0
 12 ,0,4.4,1,93,0
 12 ,16,5.1,0,95,0
 12 ,86,7.4,2,87,0.104
 12 ,56,5.9,2,89,0
 12 ,75,7.4,2,87,0.199
 12 ,66,8.3,4,85,0.277
 12 ,110,7.2,2,85,0.066
 12 ,60,8.7,0,81,0.19
 12 ,4,7.8,0,86,0
 12 ,0,6.2,0,88,0
 12 ,0,4.9,0,89,0
 12 ,0,4.9,0,93,0
 12 ,0,5.6,0,95,0
 12 ,0,5.3,0,95,0
 12 ,0,5,0,96,0
 12 ,0,5.1,0,96,0
 12 ,0,5.2,0,96,0
 12 ,0,5,0,96,0
 12 ,0,5.4,0,96,0
 12 ,0,4.3,0,94,0
 12 ,0,3.3,0,94,0
 12 ,0,2.9,0,95,0
 12 ,0,2.2,0,96,0
 12 ,0,1.9,0,97,0
 12 ,0,1.4,0,96,0
 12 ,14,1.2,0,97,0
 12 ,71,2.2,0,98,0.143
 12 ,77,3.5,1,98,0.657
