Month,SolarRad,TempOut,WindSpeed,OutHum,P_GEN_MAX
1,0,8,4,91,0
1,0,7.5,3,93,0
1,0,7.2,2,93,0
1,0,7.1,3,91,0
1,0,7.4,3,92,0
1,0,7.7,2,92,0
1,0,8.1,2,91,0
1,0,8.2,2,92,0
1,1,8.4,3,92,0
1,34,8.8,2,91,0.019
1,111,9.8,3,88,0.106
1,76,10.1,3,87,0.178
1,103,10.3,2,85,0.061
1,165,10.8,3,83,0.098
1,84,9.8,3,85,0.058
1,51,9.4,2,87,0.025
1,9,9.2,3,89,0.007
1,0,8.8,4,91,0
1,0,8.5,6,93,0
1,0,8.7,6,92,0
1,0,9.2,8,92,0
1,0,9.7,5,94,0
1,0,10.6,5,93,0
1,0,10.7,4,95,0
1,0,10.8,4,95,0
1,0,10.8,4,95,0
1,0,10.8,5,94,0
1,0,10.9,3,93,0
1,0,11.4,6,89,0
1,0,11,7,87,0
1,0,10.2,6,82,0
1,0,9.9,7,86,0
1,0,9.9,5,84,0
1,8,9.6,5,82,0
1,18,8.9,4,82,0.001
1,40,8.6,7,77,0.035
1,212,8.3,4,76,0.155
1,214,8.4,5,73,0.144
1,94,8.3,6,72,0.082
1,60,8.1,5,72,0.025
1,18,7.4,2,75,0.005
1,0,6.4,1,79,0
1,0,6.1,1,80,0
1,0,5.2,1,82,0
1,0,5,2,83,0
1,0,4.7,2,86,0
1,0,4.3,1,87,0
1,0,4.1,1,88,0
1,0,3.7,0,89,0
1,0,4,1,89,0
1,0,3.7,1,90,0
1,0,3.4,0,91,0
1,0,3.3,0,92,0
1,0,3.2,0,92,0
1,0,2.3,0,93,0
1,0,2.4,0,94,0
1,0,1.7,0,94,0
1,20,1.8,0,95,0.001
1,156,5.6,0,91,0.174
1,275,7.5,1,85,0.18
1,297,8.9,1,81,0.176
1,123,9.4,1,81,0.135
1,86,9.1,2,84,0.059
1,54,8.9,2,85,0.023
1,9,8.4,2,87,0.003
1,0,7.9,2,89,0
1,0,7.7,2,90,0
1,0,7.4,2,91,0
1,0,7.6,2,91,0
1,0,7.3,3,94,0
1,0,7.2,1,94,0
1,0,7.2,1,94,0
1,0,-0.6,0,95,0
1,0,-1,0,95,0
1,0,-1.5,0,95,0
1,0,-1.5,0,95,0
1,0,-1.6,0,96,0
1,0,-1.8,0,96,0
1,0,3.3,2,94,0
1,0,3.1,3,90,0
1,2,3.2,3,89,0
1,29,3.6,6,87,0.007
1,153,4.8,7,85,0.18
1,221,5.9,8,85,0.184
1,117,5.6,7,87,0.151
1,70,5.2,6,89,0.032
1,22,5.4,5,90,0.02
1,16,5.1,6,92,0
1,1,5.1,6,94,0
1,0,5.6,5,96,0
1,0,5.6,6,96,0
1,0,5.9,7,96,0
1,0,6.5,7,96,0
1,0,7.2,6,95,0
1,0,7.4,7,95,0
1,0,8.3,6,96,0
1,0,9.1,5,95,0
1,0,9.1,4,90,0
1,0,7.5,4,89,0
1,0,6.7,2,91,0
1,0,6.2,2,93,0
1,0,6,2,93,0
1,0,6.2,2,93,0
1,0,5.7,1,93,0
1,0,5.6,2,94,0
1,19,5.7,1,94,0.005
1,64,6.6,2,87,0.184
1,136,7.4,2,86,0.179
1,37,6.7,3,85,0.031
1,217,7.6,1,89,0.133
1,88,7.6,2,87,0.083
1,33,8.1,3,84,0.034
1,9,7.7,3,86,0.004
1,0,7.3,5,89,0
1,0,7.4,4,90,0
1,0,7.8,4,84,0
1,0,7.4,4,85,0
1,0,7.1,3,87,0
1,0,6.9,4,87,0
1,0,6.3,3,85,0
1,0,6.1,1,84,0
1,0,5.8,1,87,0
1,0,4.9,0,92,0
1,0,4.4,0,93,0
1,0,4.2,0,94,0
1,0,3.8,0,95,0
1,0,2.7,0,95,0
1,0,2.2,0,95,0
1,0,1.8,0,95,0
1,19,1.7,0,96,0.015
1,135,3.8,0,92,0.167
1,198,5.1,1,87,0.178
1,273,5.8,2,82,0.173
1,229,6.3,2,79,0.142
1,141,6.2,2,78,0.078
1,55,5.5,1,80,0.038
1,23,5.2,0,80,0.014
1,0,4.4,0,84,0
1,0,3.8,0,85,0
1,0,3.8,1,84,0
1,0,3.9,1,85,0
1,0,4.4,1,85,0
1,0,4.6,3,86,0
1,0,5,4,90,0
1,0,9.8,6,94,0
1,0,10.1,6,92,0
1,0,9.9,5,92,0
1,0,9.7,4,91,0
1,0,9.7,4,91,0
1,0,9.2,3,89,0
1,0,7.6,3,91,0
1,0,7.2,1,92,0
1,0,7.8,3,92,0
1,11,8.1,3,91,0
1,57,8.4,3,90,0.024
1,112,9,3,88,0.072
1,108,9.6,3,84,0.207
1,38,8.3,2,90,0.15
1,104,9.1,5,86,0.091
1,50,8.9,5,85,0.022
1,14,8.4,6,87,0.017
1,0,8.5,6,87,0
1,0,8.7,6,85,0
1,0,8.9,6,84,0
1,0,8.2,6,90,0
1,0,8.4,6,86,0
1,0,7.7,5,88,0
1,0,7.6,4,92,0
1,0,7.7,5,92,0
1,0,8.1,6,89,0
1,0,8.3,6,88,0
1,0,7.6,5,90,0
1,0,7.7,2,91,0
1,0,7.9,5,87,0
1,0,8,6,86,0
1,0,7.9,5,87,0
1,0,7.6,4,86,0
1,48,7.8,4,87,0.023
1,104,7.9,4,81,0.117
1,56,6.6,2,94,0.047
1,243,8.8,4,87,0.201
1,44,6.8,3,91,0.131
1,75,8.1,3,91,0.059
1,61,8.3,3,88,0.028
1,9,8,2,89,0.013
1,0,7.7,1,92,0
1,0,7.2,2,93,0
1,0,7.2,1,92,0
1,0,7.1,1,94,0
1,0,7.5,2,94,0
1,0,7.4,2,94,0
1,0,7.5,4,94,0
1,0,7.6,4,95,0
1,0,8,3,95,0
1,0,8.3,4,94,0
1,0,7.9,3,94,0
1,0,7.6,4,93,0
1,0,7.5,3,92,0
1,0,7.8,8,90,0
1,0,7.5,6,89,0
1,0,7.3,7,89,0
1,29,7.6,5,87,0.005
1,76,8,7,84,0.075
1,100,8.1,8,87,0.107
1,137,8.7,8,84,0.13
1,94,8.8,7,84,0.032
1,81,8.4,7,86,0.053
1,73,8.2,7,86,0.026
1,43,7.7,9,86,0.013
1,0,7.4,7,86,0
1,0,7.8,8,86,0
1,0,8.1,8,85,0
1,0,7.9,7,86,0
1,0,7.9,6,85,0
1,0,8.2,4,86,0
1,0,8.1,6,86,0
1,0,7.9,5,87,0
1,0,7.8,5,89,0
1,0,7.8,5,90,0
1,0,7.6,5,92,0
1,0,7.3,5,94,0
1,0,7.2,5,95,0
1,0,7.2,5,94,0
1,0,7,5,95,0
1,0,7.1,4,95,0
1,26,7.1,3,94,0.011
1,65,7.5,1,94,0.077
1,104,7.9,1,89,0.146
